iter	RMSE
0	0.6212409869
1	0.6210583784
2	0.6209455874
3	0.6208064095
4	0.6206825114
5	0.6205299834
6	0.6205052483
7	0.6205051142
8	0.6203540733
9	0.6202706588
10	0.6202478964
11	0.6202098141
12	0.620163775
13	0.6197847519
14	0.6197838252
15	0.6197770565
16	0.619724221
17	0.619601126
18	0.6195953333
19	0.6195811115
20	0.619576502
21	0.619576502
22	0.61952324
23	0.6193000032
24	0.6193000032
25	0.6192043179
26	0.6190234233
27	0.6190046759
28	0.6189903859
29	0.618930472
30	0.6186931749
31	0.6186538392
32	0.6186461865
33	0.6185611536
34	0.6185611536
35	0.6185588282
36	0.6185542519
37	0.6185169924
38	0.6185120679
39	0.6184923977
40	0.6183461578
41	0.6183354012
42	0.6180828649
43	0.6180349016
44	0.6180348925
45	0.6180347976
46	0.6176326615
47	0.6173779461
48	0.6173732692
49	0.61734499
50	0.6173123374
51	0.6172876106
52	0.6171783711
53	0.6171781014
54	0.6171467469
55	0.6170581503
56	0.6170581503
57	0.6170471205
58	0.6170008135
59	0.6170003039
60	0.616985907
61	0.6169375361
62	0.6169374938
63	0.6168732647
64	0.6167461462
65	0.6167461462
66	0.6167225572
67	0.6167225572
68	0.6167197725
69	0.6167173176
70	0.6167173176
71	0.6166811518
72	0.6166708103
73	0.6166708103
74	0.6165973266
75	0.6162986292
76	0.6162780397
77	0.6160787808
78	0.6160505599
79	0.6160426749
80	0.616039648
81	0.6160255353
82	0.6159963392
83	0.6159948293
84	0.6159948292
85	0.6159910802
86	0.6159235425
87	0.6158776179
88	0.6157865101
89	0.615694422
90	0.6156023766
91	0.6155933102
92	0.6155923443
93	0.6155223648
94	0.6155187757
95	0.6155160046
96	0.6155071722
97	0.6154995689
98	0.6151966618
99	0.6151948611
100	0.6151947627
101	0.6151713903
102	0.615136727
103	0.615136046
104	0.6151359755
105	0.6151327903
106	0.6148693258
107	0.614849427
108	0.6148318765
109	0.6148044059
110	0.614762577
111	0.6147551177
112	0.6147541375
113	0.6147404101
114	0.6147404101
115	0.6147371162
116	0.6147371162
117	0.6147280846
118	0.6147233608
119	0.6146985324
120	0.6146860644
121	0.6145799833
122	0.6145548844
123	0.6145506111
124	0.6145506089
125	0.6144929
126	0.6144830066
127	0.6144701959
128	0.6144649479
129	0.614438011
130	0.6141891147
131	0.6141853729
132	0.6141853453
133	0.6141851098
