iter	Passed	Remaining
0	75	226214
1	138	206926
2	192	192155
3	259	194569
4	288	172887
5	372	185762
6	430	184186
7	442	165440
8	497	165433
9	521	156044
10	541	147041
11	607	151202
12	623	143246
13	684	145913
14	692	137769
15	703	131215
16	747	131176
17	801	132725
18	813	127627
19	879	131051
20	907	128719
21	910	123315
22	932	120744
23	1001	124169
24	1005	119621
25	1060	121338
26	1109	122149
27	1130	120027
28	1155	118399
29	1216	120387
30	1264	121142
31	1319	122415
32	1342	120697
33	1394	121637
34	1397	118365
35	1404	115597
36	1412	113140
37	1435	111866
38	1443	109598
39	1459	108015
40	1498	108180
41	1528	107625
42	1580	108667
43	1604	107811
44	1610	105754
45	1616	103835
46	1660	104301
47	1714	105472
48	1724	103875
49	1765	104191
50	1798	103987
51	1816	102957
52	1873	104163
53	1883	102744
54	1893	101410
55	1952	102654
56	1956	101013
57	1966	99746
58	2025	100973
59	2039	99947
60	2098	101093
61	2120	100501
62	2133	99450
63	2148	98570
64	2202	99458
65	2206	98070
66	2265	99178
67	2270	97887
68	2293	97437
69	2299	96244
70	2302	94974
71	2323	94500
72	2340	93858
73	2343	92674
74	2398	93525
75	2447	94183
76	2455	93215
77	2506	93912
78	2563	94773
79	2631	96034
80	2646	95364
81	2671	95062
82	2682	94267
83	2696	93619
84	2699	92588
85	2718	92116
86	2779	93070
87	2836	93851
88	2888	94466
89	2952	95450
90	2976	95139
91	2986	94410
92	2997	93710
93	3048	94248
94	3062	93662
95	3079	93156
96	3095	92632
97	3157	93493
98	3218	94298
99	3232	93735
100	3240	93008
101	3260	92644
102	3321	93407
103	3327	92666
104	3335	91952
105	3344	91306
106	3403	92029
107	3460	92673
108	3483	92380
109	3524	92591
110	3586	93338
111	3610	93088
112	3617	92409
113	3679	93143
114	3682	92383
115	3737	92933
116	3741	92193
117	3772	92139
118	3786	91664
119	3844	92266
120	3927	93447
121	4013	94688
122	4063	95048
123	4140	96041
124	4163	95769
125	4198	95775
126	4220	95479
127	4283	96119
128	4352	96872
129	4379	96681
130	4530	99226
131	4576	99425
132	4607	99321
133	4622	98871
134	4673	99172
135	4741	99854
136	4780	99907
137	4793	99417
138	4828	99380
139	4836	98795
140	4908	99524
141	4917	98967
142	4933	98565
143	4941	98015
144	5016	98771
145	5106	99822
146	5181	100555
147	5297	102089
148	5412	103568
149	5423	103046
150	5435	102551
151	5454	102199
152	5557	103417
153	5583	103193
154	5595	102711
155	5655	103095
156	5690	103040
157	5748	103394
158	5795	103554
159	5798	102925
160	5805	102375
161	5816	101888
162	5865	102095
163	5882	101724
164	5889	101195
165	5924	101139
166	5982	101481
167	5985	100897
168	6048	101313
169	6061	100911
170	6068	100394
171	6111	100480
172	6148	100472
173	6200	100712
174	6222	100456
175	6230	99978
176	6247	99649
177	6301	99905
178	6363	100288
179	6436	100846
180	6455	100548
181	6519	100938
182	6543	100721
183	6617	101273
184	6650	101188
185	6716	101608
186	6770	101847
187	6828	102133
188	6849	101874
189	6855	101383
190	6876	101134
191	6889	100761
192	6941	100952
193	6997	101207
194	7029	101120
195	7072	101176
196	7082	100773
197	7093	100379
198	7127	100320
199	7187	100626
200	7266	101192
201	7288	100962
202	7347	101238
203	7350	100750
204	7413	101071
205	7467	101283
206	7513	101382
207	7536	101163
208	7588	101342
209	7618	101215
210	7673	101422
211	7709	101383
212	7772	101693
213	7814	101740
214	7842	101585
215	7892	101728
216	7909	101438
217	7912	100976
218	7930	100701
219	7933	100245
220	7960	100094
221	7998	100092
222	8028	99974
223	8079	100122
224	8137	100365
225	8148	100016
226	8203	100214
227	8231	100081
228	8279	100182
229	8340	100447
230	8350	100096
231	8363	99782
232	8426	100073
233	8447	99858
234	8504	100062
235	8510	99674
236	8552	99710
237	8559	99337
238	8577	99090
239	8587	98761
240	8650	99036
241	8668	98789
242	8727	99017
243	8765	99004
244	8776	98686
245	8804	98569
246	8820	98305
247	8823	97908
248	8847	97743
249	8850	97355
250	8913	97620
251	8926	97344
252	8991	97631
253	9041	97752
254	9047	97395
255	9054	97051
256	9059	96697
257	9069	96393
258	9132	96650
259	9150	96433
260	9157	96099
261	9175	95885
262	9197	95718
263	9220	95559
264	9235	95315
265	9238	94954
266	9251	94702
267	9281	94616
268	9297	94395
269	9316	94198
270	9344	94104
271	9348	93759
272	9384	93737
273	9397	93494
274	9449	93631
275	9455	93324
276	9463	93026
277	9482	92847
278	9498	92638
279	9501	92302
280	9530	92220
281	9584	92379
282	9593	92099
283	9646	92257
284	9681	92233
285	9684	91905
286	9703	91725
287	9721	91540
288	9758	91537
289	9764	91244
290	9778	91031
291	9801	90897
292	9859	91088
293	9920	91305
294	9932	91075
295	9991	91274
296	10008	91083
297	10074	91349
298	10085	91109
299	10091	90822
300	10104	90601
301	10131	90514
302	10157	90408
303	10164	90144
304	10176	89917
305	10186	89684
306	10245	89872
307	10256	89648
308	10285	89569
309	10338	89707
310	10349	89484
311	10361	89272
312	10371	89037
313	10375	88749
314	10398	88638
315	10402	88352
316	10453	88471
317	10478	88373
318	10500	88252
319	10507	87999
320	10521	87812
321	10583	88018
322	10604	87886
323	10607	87613
324	10618	87400
325	10681	87618
326	10692	87404
327	10711	87255
328	10776	87485
329	10815	87508
330	10867	87625
331	10933	87862
332	10949	87693
333	10983	87667
334	11044	87861
335	11055	87650
336	11111	87807
337	11165	87937
338	11213	88020
339	11222	87802
340	11280	87961
341	11334	88092
342	11338	87830
343	11400	88024
344	11420	87888
345	11448	87812
346	11461	87625
347	11467	87390
348	11476	87176
349	11529	87298
350	11537	87070
351	11583	87138
352	11586	86885
353	11594	86664
354	11615	86545
355	11622	86320
356	11651	86257
